s1,lc1(s1),lc1(lc1(s1)),lc2(s1),rc1(s1),rc1(rc1(s1)),rc2(s1),s2,lc1(s2),lc1(lc1(s2)),lc2(s2),rc1(s2),rc1(rc1(s2)),rc2(s2),s3,b1,b2,b3,s1.t,lc1(s1).t,lc1(lc1(s1)).t,lc2(s1).t,rc1(s1).t,rc1(rc1(s1)).t,rc2(s1).t,s2.t,lc1(s2).t,lc1(lc1(s2)).t,lc2(s2).t,rc1(s2).t,rc1(rc1(s2)).t,rc2(s2).t,s3.t,b1.t,b2.t,b3.t,lc1(s1).l,lc1(lc1(s1)).l,lc2(s1).l,rc1(s1).l,rc1(rc1(s1)).l,rc2(s1).l,lc1(s2).l,lc1(lc1(s2)).l,lc2(s2).l,rc1(s2).l,rc1(rc1(s2)).l,rc2(s2).l,transition
545,746,0,0,0,0,0,237,0,0,0,0,0,0,499,468,746,769,18,10,0,0,0,0,0,13,0,0,0,0,0,0,32,13,10,18,18,0,0,0,0,0,0,0,0,0,0,0,17
545,237,0,746,0,0,0,499,411,217,0,52,621,0,188,468,746,769,18,13,0,10,0,0,0,32,21,14,0,19,18,0,19,13,10,18,9,0,18,0,0,0,31,5,0,20,6,0,0
468,0,0,0,0,0,0,545,237,0,746,0,0,0,499,746,769,576,13,0,0,0,0,0,0,18,13,0,10,0,0,0,32,10,18,13,0,0,0,0,0,0,9,0,18,0,0,0,0
746,0,0,0,0,0,0,468,0,0,0,0,0,0,545,769,576,152,10,0,0,0,0,0,0,13,0,0,0,0,0,0,18,18,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0
769,0,0,0,0,0,0,746,0,0,0,0,0,0,468,576,152,9,18,0,0,0,0,0,0,10,0,0,0,0,0,0,13,13,19,2,0,0,0,0,0,0,0,0,0,0,0,0,35
769,746,0,0,0,0,0,468,0,0,0,0,0,0,545,576,152,9,18,10,0,0,0,0,0,13,0,0,0,0,0,0,18,13,19,2,18,0,0,0,0,0,0,0,0,0,0,0,17
769,468,0,746,0,0,0,545,237,0,746,0,0,0,499,576,152,9,18,13,0,10,0,0,0,18,13,0,10,0,0,0,32,13,19,2,9,0,18,0,0,0,9,0,18,0,0,0,0
576,0,0,0,0,0,0,769,468,0,746,0,0,0,545,152,9,555,13,0,0,0,0,0,0,18,13,0,10,0,0,0,18,19,2,13,0,0,0,0,0,0,9,0,18,0,0,0,0
152,0,0,0,0,0,0,576,0,0,0,0,0,0,769,9,555,746,19,0,0,0,0,0,0,13,0,0,0,0,0,0,18,2,13,10,0,0,0,0,0,0,0,0,0,0,0,0,17
152,576,0,0,0,0,0,769,468,0,746,0,0,0,545,9,555,746,19,13,0,0,0,0,0,18,13,0,10,0,0,0,18,2,13,10,9,0,0,0,0,0,9,0,18,0,0,0,54
769,468,0,746,152,0,0,545,237,0,746,0,0,0,499,9,555,746,18,13,0,10,19,0,0,18,13,0,10,0,0,0,32,2,13,10,9,0,18,27,0,0,9,0,18,0,0,0,0
9,0,0,0,0,0,0,769,468,0,746,152,0,0,545,555,746,733,2,0,0,0,0,0,0,18,13,0,10,19,0,0,18,13,10,14,0,0,0,0,0,0,9,0,18,27,0,0,70
769,468,0,746,9,0,152,545,237,0,746,0,0,0,499,555,746,733,18,13,0,10,2,0,19,18,13,0,10,0,0,0,32,13,10,14,9,0,18,35,0,27,9,0,18,0,0,0,0
555,0,0,0,0,0,0,769,468,0,746,9,0,152,545,746,733,266,13,0,0,0,0,0,0,18,13,0,10,2,0,19,18,10,14,18,0,0,0,0,0,0,9,0,18,35,0,27,0
746,0,0,0,0,0,0,555,0,0,0,0,0,0,769,733,266,11,10,0,0,0,0,0,0,13,0,0,0,0,0,0,18,14,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0
733,0,0,0,0,0,0,746,0,0,0,0,0,0,555,266,11,0,14,0,0,0,0,0,0,10,0,0,0,0,0,0,13,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,0,0,0,0,733,0,0,0,0,0,0,746,11,0,0,18,0,0,0,0,0,0,14,0,0,0,0,0,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
266,733,0,0,0,0,0,746,0,0,0,0,0,0,555,11,0,0,18,14,0,0,0,0,0,10,0,0,0,0,0,0,13,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,35
266,746,0,733,0,0,0,555,0,0,0,0,0,0,769,11,0,0,18,10,0,14,0,0,0,13,0,0,0,0,0,0,18,5,0,0,18,0,5,0,0,0,0,0,0,0,0,0,17
266,555,0,746,0,0,0,769,468,0,746,9,0,152,545,11,0,0,18,13,0,10,0,0,0,18,13,0,10,2,0,19,18,5,0,0,9,0,18,0,0,0,9,0,18,35,0,27,54
769,468,0,746,266,0,9,545,237,0,746,0,0,0,499,11,0,0,18,13,0,10,18,0,2,18,13,0,10,0,0,0,32,5,0,0,9,0,18,27,0,35,9,0,18,0,0,0,54
545,237,0,746,769,266,0,499,411,217,0,52,621,0,188,11,0,0,18,13,0,10,18,18,0,32,21,14,0,19,18,0,19,5,0,0,9,0,18,27,27,0,31,5,0,20,6,0,54
499,411,217,0,545,769,52,188,47,0,10,35,0,0,1,11,0,0,32,21,14,0,18,18,19,19,19,0,12,6,0,0,0,5,0,0,31,5,0,27,27,20,25,0,35,35,0,0,68
188,47,0,10,499,545,35,1,0,0,0,0,0,0,0,11,0,0,19,19,0,12,32,18,6,0,0,0,0,0,0,0,0,5,0,0,25,0,35,34,27,35,0,0,0,0,0,0,0
11,0,0,0,0,0,0,188,47,0,10,499,545,35,1,0,0,0,5,0,0,0,0,0,0,19,19,0,12,32,18,6,0,0,0,0,0,0,0,0,0,0,25,0,35,34,27,35,70
188,47,0,10,11,0,499,1,0,0,0,0,0,0,0,0,0,0,19,19,0,12,5,0,32,0,0,0,0,0,0,0,0,0,0,0,25,0,35,35,0,34,0,0,0,0,0,0,73
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,753,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,0,0,0,1,0,0,0,0,0,0,0,753,500,576,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,18,13,0,0,0,0,0,0,0,0,0,0,0,0,0
753,0,0,0,0,0,0,189,0,0,0,0,0,0,1,500,576,191,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0,18,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0
500,0,0,0,0,0,0,753,0,0,0,0,0,0,189,576,191,660,18,0,0,0,0,0,0,10,0,0,0,0,0,0,3,13,10,14,0,0,0,0,0,0,0,0,0,0,0,0,35
500,753,0,0,0,0,0,189,0,0,0,0,0,0,1,576,191,660,18,10,0,0,0,0,0,3,0,0,0,0,0,0,0,13,10,14,18,0,0,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,500,753,0,0,0,0,0,189,191,660,297,13,0,0,0,0,0,0,18,10,0,0,0,0,0,3,10,14,18,0,0,0,0,0,0,18,0,0,0,0,0,0
191,0,0,0,0,0,0,576,0,0,0,0,0,0,500,660,297,815,10,0,0,0,0,0,0,13,0,0,0,0,0,0,18,14,18,17,0,0,0,0,0,0,0,0,0,0,0,0,0
660,0,0,0,0,0,0,191,0,0,0,0,0,0,576,297,815,245,14,0,0,0,0,0,0,10,0,0,0,0,0,0,13,18,17,31,0,0,0,0,0,0,0,0,0,0,0,0,0
297,0,0,0,0,0,0,660,0,0,0,0,0,0,191,815,245,282,18,0,0,0,0,0,0,14,0,0,0,0,0,0,10,17,31,33,0,0,0,0,0,0,0,0,0,0,0,0,9
297,660,0,0,0,0,0,191,0,0,0,0,0,0,576,815,245,282,18,14,0,0,0,0,0,10,0,0,0,0,0,0,13,17,31,33,5,0,0,0,0,0,0,0,0,0,0,0,35
297,191,0,660,0,0,0,576,0,0,0,0,0,0,500,815,245,282,18,10,0,14,0,0,0,13,0,0,0,0,0,0,18,17,31,33,18,0,5,0,0,0,0,0,0,0,0,0,17
297,576,0,191,0,0,0,500,753,0,0,0,0,0,189,815,245,282,18,13,0,10,0,0,0,18,10,0,0,0,0,0,3,17,31,33,9,0,18,0,0,0,18,0,0,0,0,0,54
500,753,0,0,297,0,0,189,0,0,0,0,0,0,1,815,245,282,18,10,0,0,18,0,0,3,0,0,0,0,0,0,0,17,31,33,18,0,0,27,0,0,0,0,0,0,0,0,0
815,0,0,0,0,0,0,500,753,0,0,297,0,0,189,245,282,798,17,0,0,0,0,0,0,18,10,0,0,18,0,0,3,31,33,24,0,0,0,0,0,0,18,0,0,27,0,0,0
245,0,0,0,0,0,0,815,0,0,0,0,0,0,500,282,798,774,31,0,0,0,0,0,0,17,0,0,0,0,0,0,18,33,24,18,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,0,245,0,0,0,0,0,0,815,798,774,410,33,0,0,0,0,0,0,31,0,0,0,0,0,0,17,24,18,13,0,0,0,0,0,0,0,0,0,0,0,0,13
282,245,0,0,0,0,0,815,0,0,0,0,0,0,500,798,774,410,33,31,0,0,0,0,0,17,0,0,0,0,0,0,18,24,18,13,7,0,0,0,0,0,0,0,0,0,0,0,13
282,815,0,245,0,0,0,500,753,0,0,297,0,0,189,798,774,410,33,17,0,31,0,0,0,18,10,0,0,18,0,0,3,24,18,13,7,0,7,0,0,0,18,0,0,27,0,0,61
282,500,753,815,0,0,0,189,0,0,0,0,0,0,1,798,774,410,33,18,10,17,0,0,0,3,0,0,0,0,0,0,0,24,18,13,31,18,7,0,0,0,0,0,0,0,0,0,69
282,189,0,500,0,0,0,1,0,0,0,0,0,0,0,798,774,410,33,3,0,18,0,0,0,0,0,0,0,0,0,0,0,24,18,13,35,0,31,0,0,0,0,0,0,0,0,0,0
798,0,0,0,0,0,0,282,189,0,500,0,0,0,1,774,410,827,24,0,0,0,0,0,0,33,3,0,18,0,0,0,0,18,13,21,0,0,0,0,0,0,35,0,31,0,0,0,44
282,189,0,500,798,0,0,1,0,0,0,0,0,0,0,774,410,827,33,3,0,18,24,0,0,0,0,0,0,0,0,0,0,18,13,21,35,0,31,22,0,0,0,0,0,0,0,0,0
774,0,0,0,0,0,0,282,189,0,500,798,0,0,1,410,827,764,18,0,0,0,0,0,0,33,3,0,18,24,0,0,0,13,21,30,0,0,0,0,0,0,35,0,31,22,0,0,40
282,189,0,500,774,0,798,1,0,0,0,0,0,0,0,410,827,764,33,3,0,18,18,0,24,0,0,0,0,0,0,0,0,13,21,30,35,0,31,20,0,22,0,0,0,0,0,0,0
410,0,0,0,0,0,0,282,189,0,500,774,0,798,1,827,764,300,13,0,0,0,0,0,0,33,3,0,18,18,0,24,0,21,30,31,0,0,0,0,0,0,35,0,31,20,0,22,0
827,0,0,0,0,0,0,410,0,0,0,0,0,0,282,764,300,11,21,0,0,0,0,0,0,13,0,0,0,0,0,0,33,30,31,5,0,0,0,0,0,0,0,0,0,0,0,0,17
827,410,0,0,0,0,0,282,189,0,500,774,0,798,1,764,300,11,21,13,0,0,0,0,0,33,3,0,18,18,0,24,0,30,31,5,9,0,0,0,0,0,35,0,31,20,0,22,0
764,0,0,0,0,0,0,827,410,0,0,0,0,0,282,300,11,190,30,0,0,0,0,0,0,21,13,0,0,0,0,0,33,31,5,4,0,0,0,0,0,0,9,0,0,0,0,0,0
300,0,0,0,0,0,0,764,0,0,0,0,0,0,827,11,190,0,31,0,0,0,0,0,0,30,0,0,0,0,0,0,21,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,45
300,764,0,0,0,0,0,827,410,0,0,0,0,0,282,11,190,0,31,30,0,0,0,0,0,21,13,0,0,0,0,0,33,5,4,0,23,0,0,0,0,0,9,0,0,0,0,0,2
827,410,0,0,300,0,0,282,189,0,500,774,0,798,1,11,190,0,21,13,0,0,31,0,0,33,3,0,18,18,0,24,0,5,4,0,9,0,0,1,0,0,35,0,31,20,0,22,54
282,189,0,500,827,300,774,1,0,0,0,0,0,0,0,11,190,0,33,3,0,18,21,31,18,0,0,0,0,0,0,0,0,5,4,0,35,0,31,27,1,20,0,0,0,0,0,0,0
11,0,0,0,0,0,0,282,189,0,500,827,300,774,1,190,0,0,5,0,0,0,0,0,0,33,3,0,18,21,31,18,0,4,0,0,0,0,0,0,0,0,35,0,31,27,1,20,70
282,189,0,500,11,0,827,1,0,0,0,0,0,0,0,190,0,0,33,3,0,18,5,0,21,0,0,0,0,0,0,0,0,4,0,0,35,0,31,35,0,27,0,0,0,0,0,0,0
190,0,0,0,0,0,0,282,189,0,500,11,0,827,1,0,0,0,4,0,0,0,0,0,0,33,3,0,18,5,0,21,0,0,0,0,0,0,0,0,0,0,35,0,31,35,0,27,70
282,189,0,500,190,0,11,1,0,0,0,0,0,0,0,0,0,0,33,3,0,18,4,0,5,0,0,0,0,0,0,0,0,0,0,0,35,0,31,35,0,35,0,0,0,0,0,0,73
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,35,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,14,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,1,0,0,0,0,0,0,0,35,486,241,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,21,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,80,0,0,0,0,0,0,1,486,241,220,6,0,0,0,0,0,0,19,0,0,0,0,0,0,0,14,21,32,0,0,0,0,0,0,0,0,0,0,0,0,70
80,0,0,0,35,0,0,1,0,0,0,0,0,0,0,486,241,220,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,21,32,0,0,0,35,0,0,0,0,0,0,0,0,0
486,0,0,0,0,0,0,80,0,0,0,35,0,0,1,241,220,745,14,0,0,0,0,0,0,19,0,0,0,6,0,0,0,21,32,13,0,0,0,0,0,0,0,0,0,35,0,0,0
241,0,0,0,0,0,0,486,0,0,0,0,0,0,80,220,745,750,21,0,0,0,0,0,0,14,0,0,0,0,0,0,19,32,13,24,0,0,0,0,0,0,0,0,0,0,0,0,9
241,486,0,0,0,0,0,80,0,0,0,35,0,0,1,220,745,750,21,14,0,0,0,0,0,19,0,0,0,6,0,0,0,32,13,24,5,0,0,0,0,0,0,0,0,35,0,0,0
220,0,0,0,0,0,0,241,486,0,0,0,0,0,80,745,750,431,32,0,0,0,0,0,0,21,14,0,0,0,0,0,19,13,24,32,0,0,0,0,0,0,5,0,0,0,0,0,61
220,241,486,0,0,0,0,80,0,0,0,35,0,0,1,745,750,431,32,21,14,0,0,0,0,19,0,0,0,6,0,0,0,13,24,32,31,5,0,0,0,0,0,0,0,35,0,0,0
745,0,0,0,0,0,0,220,241,486,0,0,0,0,80,750,431,271,13,0,0,0,0,0,0,32,21,14,0,0,0,0,19,24,32,34,0,0,0,0,0,0,31,5,0,0,0,0,0
750,0,0,0,0,0,0,745,0,0,0,0,0,0,220,431,271,784,24,0,0,0,0,0,0,13,0,0,0,0,0,0,32,32,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,0,0,750,0,0,0,0,0,0,745,271,784,26,32,0,0,0,0,0,0,24,0,0,0,0,0,0,13,34,29,9,0,0,0,0,0,0,0,0,0,0,0,0,0
271,0,0,0,0,0,0,431,0,0,0,0,0,0,750,784,26,743,34,0,0,0,0,0,0,32,0,0,0,0,0,0,24,29,9,14,0,0,0,0,0,0,0,0,0,0,0,0,13
271,431,0,0,0,0,0,750,0,0,0,0,0,0,745,784,26,743,34,32,0,0,0,0,0,24,0,0,0,0,0,0,13,29,9,14,7,0,0,0,0,0,0,0,0,0,0,0,61
271,750,0,431,0,0,0,745,0,0,0,0,0,0,220,784,26,743,34,24,0,32,0,0,0,13,0,0,0,0,0,0,32,29,9,14,31,0,7,0,0,0,0,0,0,0,0,0,45
271,745,0,750,0,0,0,220,241,486,0,0,0,0,80,784,26,743,34,13,0,24,0,0,0,32,21,14,0,0,0,0,19,29,9,14,23,0,31,0,0,0,31,5,0,0,0,0,0
784,0,0,0,0,0,0,271,745,0,750,0,0,0,220,26,743,283,29,0,0,0,0,0,0,34,13,0,24,0,0,0,32,9,14,21,0,0,0,0,0,0,23,0,31,0,0,0,26
271,745,0,750,784,0,0,220,241,486,0,0,0,0,80,26,743,283,34,13,0,24,29,0,0,32,21,14,0,0,0,0,19,9,14,21,23,0,31,13,0,0,31,5,0,0,0,0,0
26,0,0,0,0,0,0,271,745,0,750,784,0,0,220,743,283,587,9,0,0,0,0,0,0,34,13,0,24,29,0,0,32,14,21,33,0,0,0,0,0,0,23,0,31,13,0,0,0
743,0,0,0,0,0,0,26,0,0,0,0,0,0,271,283,587,468,14,0,0,0,0,0,0,9,0,0,0,0,0,0,34,21,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,0,0,743,0,0,0,0,0,0,26,587,468,67,21,0,0,0,0,0,0,14,0,0,0,0,0,0,9,33,13,19,0,0,0,0,0,0,0,0,0,0,0,0,9
283,743,0,0,0,0,0,26,0,0,0,0,0,0,271,587,468,67,21,14,0,0,0,0,0,9,0,0,0,0,0,0,34,33,13,19,5,0,0,0,0,0,0,0,0,0,0,0,65
283,26,0,743,0,0,0,271,745,0,750,784,0,0,220,587,468,67,21,9,0,14,0,0,0,34,13,0,24,29,0,0,32,33,13,19,33,0,5,0,0,0,23,0,31,13,0,0,0
587,0,0,0,0,0,0,283,26,0,743,0,0,0,271,468,67,11,33,0,0,0,0,0,0,21,9,0,14,0,0,0,34,13,19,5,0,0,0,0,0,0,33,0,5,0,0,0,0
468,0,0,0,0,0,0,587,0,0,0,0,0,0,283,67,11,0,13,0,0,0,0,0,0,33,0,0,0,0,0,0,21,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67,0,0,0,0,0,0,468,0,0,0,0,0,0,587,11,0,0,19,0,0,0,0,0,0,13,0,0,0,0,0,0,33,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
67,468,0,0,0,0,0,587,0,0,0,0,0,0,283,11,0,0,19,13,0,0,0,0,0,33,0,0,0,0,0,0,21,5,0,0,9,0,0,0,0,0,0,0,0,0,0,0,54
587,0,0,0,67,0,0,283,26,0,743,0,0,0,271,11,0,0,33,0,0,0,19,0,0,21,9,0,14,0,0,0,34,5,0,0,0,0,0,27,0,0,33,0,5,0,0,0,2
283,26,0,743,587,67,0,271,745,0,750,784,0,0,220,11,0,0,21,9,0,14,33,19,0,34,13,0,24,29,0,0,32,5,0,0,33,0,5,1,27,0,23,0,31,13,0,0,40
271,745,0,750,283,587,784,220,241,486,0,0,0,0,80,11,0,0,34,13,0,24,21,33,29,32,21,14,0,0,0,0,19,5,0,0,23,0,31,20,1,13,31,5,0,0,0,0,22
220,241,486,0,271,283,0,80,0,0,0,35,0,0,1,11,0,0,32,21,14,0,34,21,0,19,0,0,0,6,0,0,0,5,0,0,31,5,0,11,20,0,0,0,0,35,0,0,68
80,0,0,0,220,271,35,1,0,0,0,0,0,0,0,11,0,0,19,0,0,0,32,34,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,34,11,35,0,0,0,0,0,0,0
11,0,0,0,0,0,0,80,0,0,0,220,271,35,1,0,0,0,5,0,0,0,0,0,0,19,0,0,0,32,34,6,0,0,0,0,0,0,0,0,0,0,0,0,0,34,11,35,70
80,0,0,0,11,0,220,1,0,0,0,0,0,0,0,0,0,0,19,0,0,0,5,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,34,0,0,0,0,0,0,73
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,576,750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,24,0,0,0,0,0,0,0,0,0,0,0,0,0
778,0,0,0,0,0,0,1,0,0,0,0,0,0,0,576,750,245,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,24,32,0,0,0,0,0,0,0,0,0,0,0,0,0
576,0,0,0,0,0,0,778,0,0,0,0,0,0,1,750,245,245,13,0,0,0,0,0,0,9,0,0,0,0,0,0,0,24,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,576,0,0,0,0,0,0,778,245,245,669,24,0,0,0,0,0,0,13,0,0,0,0,0,0,9,32,33,34,0,0,0,0,0,0,0,0,0,0,0,0,17
750,576,0,0,0,0,0,778,0,0,0,0,0,0,1,245,245,669,24,13,0,0,0,0,0,9,0,0,0,0,0,0,0,32,33,34,9,0,0,0,0,0,0,0,0,0,0,0,54
778,0,0,0,750,0,0,1,0,0,0,0,0,0,0,245,245,669,9,0,0,0,24,0,0,0,0,0,0,0,0,0,0,32,33,34,0,0,0,27,0,0,0,0,0,0,0,0,0
